Volatility 3 Framework 2.11.0

Offset	Name
0xe60dd8da9b50	\Program Files\WindowsApps\Microsoft.LanguageExperiencePacken-GB_22621.37.187.0_neutral__8wekyb3d8bbwe\Windows\System32\en-GB\ac9fb19aa078a45b34a2bae6f16c9a24\mshtml.dll.mui
0xe60dd8da9ce0	\Windows\apppatch\DirectXApps.sdb
0xe60dd8da9e70	\Windows\Fonts\StaticCache.dat
0xe60dd8daa190	\Endpoint
0xe60dd8daa4b0	\Windows\System32\en-US\mswsock.dll.mui
0xe60dd8daa960	\Program Files\WindowsApps\Microsoft.LanguageExperiencePacken-GB_22621.37.187.0_neutral__8wekyb3d8bbwe\Windows\System32\en-GB\e10743d83c2ea856392c997de53e67ee\crypt32.dll.mui
0xe60dd8daac80	\FTK Imager\mfc140enu.dll
0xe60dd8daae10	\$Directory
0xe60dd8dab2c0	\Windows\System32\rascustom.dll
0xe60dd8dab450	\Users\Nis. E. Juul\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData
0xe60dd8dab5e0	\Users\Nis. E. Juul\AppData\Local\Microsoft\Windows\Explorer\iconcache_32.db
0xe60dd8dab770	\Windows\System32\en-US\winmm.dll.mui
0xe60dd8dab900	\Windows\System32\wpnprv.dll
0xe60dd8daba90	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.22621.3672_none_2713b9d173822955
0xe60dd8dabc20	\Program Files\WindowsApps\Microsoft.LanguageExperiencePacken-GB_22621.37.187.0_neutral__8wekyb3d8bbwe\Windows\System32\en-GB\e18aba181b8f8e576716d28618762719\urlmon.dll.mui
0xe60dd8dabdb0	\Windows\Fonts\seguisb.ttf
0xe60dd8dac260	\Users\Nis. E. Juul\AppData\Local\Microsoft\Windows\Explorer\thumbcache_idx.db
0xe60dd8dac710	\Users\Nis. E. Juul\AppData\Local\Microsoft\Windows\Explorer\iconcache_idx.db
0xe60dd8dac8a0	\Windows\System32\en-GB\ieframe.dll.mui
0xe60dd8daca30	\Users\Nis. E. Juul\AppData\Local\Microsoft\Windows\Explorer\thumbcache_256.db
0xe60dd8dacd50	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.22621.3672_none_2713b9d173822955
0xe60dd8dacee0	\Windows\System32\wpnservice.dll
0xe60dd8dad200	\Windows\System32\stdole2.tlb
0xe60dd8dad390	\Users\Nis. E. Juul\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db
0xe60dd8dad520	\Users\Nis. E. Juul\AppData\Local\Microsoft\Windows\Explorer\iconcache_idx.db
0xe60dd8dad6b0	\Windows\System32\ieframe.dll
0xe60dd8dadb60	\Windows\System32\en-GB\windows.storage.dll.mui
0xe60dd8dae1a0	\Program Files\Common Files\System\wab32res.dll
0xe60dd8dae7e0	\Windows\System32\wbem\WmiPrvSE.exe
0xe60dd8daec90	\CMApi
0xe60dd8daf140	\Endpoint
0xe60dd8daf460	\Windows\System32\config\systemprofile\AppData\Local\Microsoft\Windows\Notifications\wpndatabase.db-wal
0xe60dd8daf780	\Users\Nis. E. Juul\AppData\Local\Microsoft\Windows\Explorer\iconcache_16.db
0xe60dd8daf910	\Windows\System32\config\systemprofile\AppData\Local\Microsoft\Windows\Notifications\wpndatabase.db-shm
0xe60dd8dafaa0	\AsyncSelectHlp
0xe60dd8dafc30	\ProgramData\Microsoft\Windows\UUS\State\_active.uusver
0xe60dd8db0270	\Windows\UUS\Packages\Preview
0xe60dd8db0590	\Program Files\WindowsApps\Microsoft.LanguageExperiencePacken-GB_22621.37.187.0_neutral__8wekyb3d8bbwe\Windows\System32\en-GB\a35253ff9cdf2d0b7243fb94a7a35c76\wuapi.dll.mui
0xe60dd8db08b0	\Windows\System32\en-GB\propsys.dll.mui
0xe60dd8db0a40	\Windows\UUS\Packages\Preview
0xe60dd8db0bd0	\Windows\System32\Windows.Networking.Sockets.PushEnabledApplication.dll
0xe60dd8db0ef0	\Program Files\WindowsApps\Microsoft.LanguageExperiencePacken-GB_22621.37.187.0_neutral__8wekyb3d8bbwe\Windows\System32\en-GB\a284960c04c9bcd1d23289321f222b5f\user32.dll.mui
0xe60dd8db1080	\AsyncConnectHlp
0xe60dd8db1210	\Windows\System32
0xe60dd8db13a0	\Users\Nis. E. Juul\AppData\Local\Microsoft\Windows\Explorer\iconcache_32.db
0xe60dd8db1530	\wkssvc
0xe60dd8db16c0	\Windows\System32\en-GB\UpdatePolicy.dll.mui
0xe60dd8db1850	\ProgramData\Microsoft\Windows\UUS\State\_active.uusver
0xe60dd8db2340	\Windows\System32\en-US\netmsg.dll.mui
0xe60dd8db2980	\$ConvertToNonresident
0xe60dd8db2b10	\Users\Nis. E. Juul\Documents\memdump.mem
0xe60dd8db6800	\$Directory
0xe60dd8db8d80	\$Directory
0xe60dd8db9b90	\$Directory
0xe60dd8dba1d0	\$Directory
0xe60dd8dba680	\$Directory
0xe60dd8dbdec0	\$Directory
0xe60dd8dc3960	\$Directory
0xe60dd8dc4450	\$Directory
0xe60dd8dc90e0	\$Directory
0xe60dd8dca080	\$Directory
0xe60dd8dcb980	\$Directory
0xe60dd8dcdbe0	\$Directory
0xe60dd8dce220	\$Directory
0xe60dd8dce540	\$Directory
0xe60dd8dceb80	\$Directory
0xe60dd8dcf350	\$Directory
0xe60dd8dcf4e0	\$Directory
0xe60dd8dcf800	\$Directory
0xe60dd8dcfb20	\$Directory
0xe60dd8dcfcb0	\$Directory
0xe60dd8dcfe40	\$Directory
0xe60dd8dd02f0	\$Directory
0xe60dd8dd0480	\$Directory
0xe60dd8dd0610	\$Directory
0xe60dd8dd0de0	\$Directory
0xe60dd8dd1100	\$Directory
0xe60dd8dd1290	\$Directory
0xe60dd8dd1420	\$Directory
0xe60dd8dd15b0	\$Directory
0xe60dd8dd1740	\$Directory
0xe60dd8dd18d0	\$Directory
0xe60dd8dd1a60	\$Directory
0xe60dd8dd1bf0	\$Directory
0xe60dd8dd1d80	\$Directory
0xe60dd8dd20a0	\$Directory
0xe60dd8dd2230	\$Directory
0xe60dd8dd23c0	\$Directory
0xe60dd8dd2550	\$Directory
0xe60dd8dd26e0	\$Directory
0xe60dd8dd2870	\$Directory
0xe60dd8dd2a00	\$Directory
0xe60dd8dd2b90	\$Directory
0xe60dd8dd2d20	\$Directory
0xe60dd8dd2eb0	\$Directory
0xe60dd8dd31d0	\$Directory
0xe60dd8dd3360	\$Directory
0xe60dd8dd34f0	\$Directory
0xe60dd8dd3680	\$Directory
0xe60dd8dd3810	\$Directory
0xe60dd8dd39a0	\$Directory
0xe60dd8dd3b30	\$Directory
0xe60dd8dd3cc0	\$Directory
0xe60dd8dd3e50	\$Directory
0xe60dd8dd4300	\$Directory
0xe60dd8dd4490	\$Directory
0xe60dd8dd4620	\$Directory
0xe60dd8dd47b0	\$Directory
0xe60dd8dd4940	\$Directory
0xe60dd8dd4ad0	\$Directory
0xe60dd8dd4c60	\$Directory
0xe60dd8dd4df0	\$Directory
0xe60dd8dd5110	\$Directory
0xe60dd8dd52a0	\$Directory
0xe60dd8dd5430	\$Directory
0xe60dd8dd55c0	\$Directory
0xe60dd8dd5750	\$Directory
0xe60dd8dd58e0	\$Directory
0xe60dd8dd5a70	\$Directory
0xe60dd8dd5c00	\$Directory
0xe60dd8dd5d90	\$Directory
0xe60dd8dd60b0	\$Directory
0xe60dd8dd6240	\$Directory
0xe60dd8dd63d0	\$Directory
0xe60dd8dd6560	\$Directory
0xe60dd8dd66f0	\$Directory
0xe60dd8dd6ba0	\$Directory
0xe60dd8dd6d30	\$Directory
0xe60dd8dd6ec0	\$Directory
0xe60dd8dd7500	\$Directory
0xe60dd8dd7690	\$Directory
0xe60dd8dd7820	\$Directory
0xe60dd8dd79b0	\$Directory
0xe60dd8dd7b40	\$Directory
0xe60dd8dd7cd0	\$Directory
0xe60dd8dd8180	\$Directory
0xe60dd8dd8310	\$Directory
0xe60dd8dd84a0	\$Directory
0xe60dd8dd8630	\$Directory
0xe60dd8dd8950	\$Directory
0xe60dd8dd8ae0	\$Directory
0xe60dd8dd8c70	\$Directory
0xe60dd8dd8e00	\Users\Nis. E. Juul\AppData\Local\Packages\MicrosoftTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView\Default\Network\Reporting and NEL-journal
0xe60dd8dd9120	\$Extend\$Reparse:$R:$INDEX_ALLOCATION
0xe60dd8dd92b0	\$Directory
0xe60dd8dd9440	\$Directory
0xe60dd8dd95d0	\$Directory
0xe60dd8dd9760	\$Directory
0xe60dd8dd98f0	\$Directory
0xe60dd8dd9da0	\Windows\System32\winevt\Logs\Microsoft-Windows-Security-Mitigations%4UserMode.evtx
0xe60dd8dda0c0	\$Directory
0xe60dd8dda250	\$Directory
0xe60dd8dda3e0	\Windows\System32\midimap.dll
0xe60dd8dda700	\Windows\System32
0xe60dd8ddabb0	\Windows\System32\taskhostw.exe
0xe60dd8ddaed0	\Windows\System32\winmmbase.dll
0xe60dd8ddb510	\Windows\System32\ksuser.dll
0xe60dd8ddb6a0	\$Directory
0xe60dd8ddb830	\$Directory
0xe60dd8ddbce0	\Windows\System32\WiFiCloudStore.dll
0xe60dd8ddbe70	\Users\Nis. E. Juul\AppData\Local\Microsoft\Edge\User Data\Default\History-journal
0xe60dd8ddc4b0	\Windows\System32\msacm32.dll
0xe60dd8ddc7d0	\Windows\System32\wdmaud.drv
0xe60dd8ddcaf0	\Users\Nis. E. Juul\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView\Default\Site Characteristics Database\000010.ldb
0xe60dd8ddd5e0	\Windows\SystemApps\Microsoft.WindowsAppRuntime.CBS_8wekyb3d8bbwe\CoreMessagingXP.dll
0xe60dd8ddda90	\Windows\System32\bitsigd.dll
0xe60dd8dddc20	\Program Files\WindowsApps\Microsoft.LanguageExperiencePacken-GB_22621.37.187.0_neutral__8wekyb3d8bbwe\Windows\System32\en-GB\f6b4529b65cadef57c3fd95220f010e2\svchost.exe.mui
0xe60dd8dde580	\Windows\System32\usoapi.dll
0xe60dd8dde8a0	\Program Files\WindowsApps\Microsoft.LanguageExperiencePacken-GB_22621.37.187.0_neutral__8wekyb3d8bbwe\Windows\System32\en-GB\f2114cfb4f98eddbdb846cc9e0563284\windows.ui.xaml.dll.mui
0xe60dd8ddebc0	\Windows\System32\svchost.exe
0xe60dd8dded50	\Windows\System32\upnp.dll
0xe60dd8ddf840	\Windows\UUS\Packages\Preview\amd64\MoUsoCoreWorker.exe
0xe60dd8ddfb60	\Windows\System32\ssdpsrv.dll
0xe60dd8ddfe80	\$Directory
0xe60dd8de0c90	\Program Files\WindowsApps\Microsoft.LanguageExperiencePacken-GB_22621.37.187.0_neutral__8wekyb3d8bbwe\Windows\SystemApps\Microsoft.WindowsAppRuntime.CBS_8wekyb3d8bbwe\en-GB\4df4845d8367466881dbdee6f346c00a\Microsoft.ui.xaml.dll.mui
0xe60dd8de0e20	\Windows\UUS\Packages\Preview
0xe60dd8de12d0	\$Directory
0xe60dd8de1460	\Program Files\WindowsApps\Microsoft.LanguageExperiencePacken-GB_22621.37.187.0_neutral__8wekyb3d8bbwe\Windows\SystemApps\Microsoft.WindowsAppRuntime.CBS_8wekyb3d8bbwe\en-GB\4df4845d8367466881dbdee6f346c00a\Microsoft.ui.xaml.dll.mui
0xe60dd8de1780	\$Directory
0xe60dd8de1910	\ProgramData\Microsoft\Windows\UUS\State\_active.uusver
0xe60dd8de20e0	\Windows\UUS\Packages\Preview
0xe60dd8de2400	\Windows\System32\shutdownux.dll
0xe60dd8de28b0	\Windows\System32\winevt\Logs\Microsoft-Windows-WindowsBackup%4ActionCenter.evtx
0xe60dd8de2d60	\Windows\System32\en-GB\UpdatePolicy.dll.mui
0xe60dd8de2ef0	\ProgramData\Microsoft\Windows\UUS\State\_active.uusver
0xe60dd8de36c0	\$Directory
0xe60dd8de3850	\$Directory
0xe60dd8de39e0	\Users\Nis. E. Juul\AppData\Local\Microsoft\Windows\Explorer\iconcache_idx.db
0xe60dd8de3d00	\Windows\SystemApps\Microsoft.WindowsAppRuntime.CBS_8wekyb3d8bbwe\Microsoft.ui.xaml.dll
0xe60dd8de4340	\Windows\SystemApps\Microsoft.WindowsAppRuntime.CBS_8wekyb3d8bbwe\wuceffectsi.dll
0xe60dd8de44d0	\Program Files\7-Zip\7-zip.dll
0xe60dd8de4980	\Windows\SystemApps\Microsoft.WindowsAppRuntime.CBS_8wekyb3d8bbwe\Microsoft.UI.Input.dll
0xe60dd8de4b10	\Windows\SystemApps\Microsoft.WindowsAppRuntime.CBS_8wekyb3d8bbwe\Microsoft.UI.Windowing.dll
0xe60dd8de4e30	\Windows\SystemApps\Microsoft.WindowsAppRuntime.CBS_8wekyb3d8bbwe\Microsoft.WindowsAppRuntime.Insights.Resource.dll
0xe60dd8ef90a0	\Windows\System32\drivers\storahci.sys
0xe60dd8ef9210	\$Extend\$UsnJrnl:$J:$DATA
0xe60dd8ef97d0	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000007
0xe60dd8ef9940	\System Volume Information\{3808876b-c176-4e48-b7ae-04046e6cc752}
0xe60dd8ef9ab0	\$Directory
0xe60dd8ef9d90	\$Extend\$Deleted:$I30:$INDEX_ALLOCATION
0xe60dd8efa070	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog
0xe60dd8efa1e0	\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
0xe60dd8efa630	\System Volume Information\{764490cc-7361-11ef-ac11-080027aff28e}{3808876b-c176-4e48-b7ae-04046e6cc752}
0xe60dd8efa910	\$Extend\$RmMetadata\$Repair:$Corrupt:$DATA
0xe60dd8efaa80	\$Extend\$RmMetadata\$Repair:$Verify:$DATA
0xe60dd8efaed0	\Windows\System32\drivers\crashdmp.sys
0xe60ddb018380	\$Directory
0xe60ddb018660	TxfLog
0xe60ddb018940	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000011
0xe60ddb018c20	\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
0xe60ddb018d90	\:$I30:$INDEX_ALLOCATION
0xe60ddb019070	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog
0xe60ddb0191e0	\$Extend\$Reparse:$R:$INDEX_ALLOCATION
0xe60ddb0194c0	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog
0xe60ddb0197a0	\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA
0xe60ddb019910	KtmLog
0xe60ddb019a80	\$Extend\$RmMetadata\$TxfLog\$Tops
0xe60ddb019bf0	\$Directory
0xe60ddb019d60	\$Directory
0xe60ddb0220a0	\$Secure:$SDH:$INDEX_ALLOCATION
0xe60ddb022380	\Windows\System32\drivers\Diskdump.sys
0xe60ddb022660	\Windows\System32\drivers\dumpfve.sys
0xe60ddb022ab0	\$Directory
0xe60ddb022c20	\System Volume Information\{f4059c1b-735b-11ef-ac10-080027aff28e}{3808876b-c176-4e48-b7ae-04046e6cc752}
0xe60ddb022d90	\$Directory
0xe60ddb0231e0	\$Directory
0xe60ddb0234c0	\$Directory
0xe60ddb0237a0	\Windows\System32\drivers\en-US\ntfs.sys.mui
0xe60ddb023910	\$Directory
0xe60ddb0c20a0	\Windows\System32\vertdll.dll
0xe60ddb0c2380	\Windows\System32\drivers\filecrypt.sys
0xe60ddb0c2ab0	\Windows\System32\ntdll.dll
0xe60ddb0c3070	\Windows\SysWOW64\ntdll.dll
0xe60ddb0c3350	\Windows\System32\drivers\tbs.sys
0xe60ddb0c3910	\$Directory
0xe60ddb0c3a80	\Windows\System32\drivers\cdrom.sys
0xe60ddb0c3bf0	\$Directory
0xe60ddb0ca0a0	\Windows\System32\drivers\beep.sys
0xe60ddb0ca380	\Windows\System32\drivers\UCPD.sys
0xe60ddb0cad90	\Windows\System32\drivers\dxgkrnl.sys
0xe60ddb0cb1e0	\Windows\System32\drivers\null.sys
0xe60ddb0cb630	\System Volume Information\{7644929a-7361-11ef-ac11-080027aff28e}{3808876b-c176-4e48-b7ae-04046e6cc752}
0xe60ddb0cb7a0	\Windows\System32\drivers\watchdog.sys
0xe60ddb0f00b0	\Windows\System32\drivers\ahcache.sys
0xe60ddb0f0390	\Windows\System32\drivers\rdbss.sys
0xe60ddb0f0500	\Windows\System32\drivers\pacer.sys
0xe60ddb0f0950	\$LogFile
0xe60ddb0f0c30	\Windows\System32\drivers\winhvr.sys
0xe60ddb0f1360	\$BitMap
0xe60ddb0f14d0	\Windows\System32\drivers\Vid.sys
0xe60ddb0f1640	\$Mft::$BITMAP
0xe60ddb0f1a90	\Windows\System32\drivers\nsiproxy.sys
0xe60ddb0f1c00	\Windows\System32\drivers\npsvctrig.sys
0xe60ddb0f1ee0	\Windows\System32\drivers\ndiscap.sys
0xe60ddb0f21c0	\$Mft
0xe60ddb0f24a0	\$Secure:$SDS:$DATA
0xe60ddb0f2a60	\$MftMirr
0xe60ddb0f2eb0	\:$I30:$INDEX_ALLOCATION
0xe60ddb0f3190	\$Extend:$I30:$INDEX_ALLOCATION
0xe60ddb0f3300	\Windows\System32\drivers\mssmbios.sys
0xe60ddb0f3470	\$Extend\$RmMetadata\$Repair:$Corrupt:$DATA
0xe60ddb0f3750	\$Extend\$RmMetadata\$Repair
0xe60ddb0f38c0	\Windows\System32\drivers\hvsocketcontrol.sys
0xe60ddb0f3ba0	\$Extend\$RmMetadata\$Repair:$Verify:$DATA
0xe60ddb0f3d10	\$Secure:$SII:$INDEX_ALLOCATION
0xe60ddb187220	\Windows\System32\drivers\bam.sys
0xe60ddb1877e0	\Windows\System32\drivers\dfsc.sys
0xe60ddb187950	\$Extend\$UsnJrnl:$J:$DATA
0xe60ddb1881f0	\Windows\System32\drivers\fastfat.sys
0xe60ddb1887b0	\Windows\System32\drivers\dam.sys
0xe60ddb188920	\$Extend\$Deleted:$I30:$INDEX_ALLOCATION
0xe60ddb189330	\Windows\System32\drivers\kmpdc.sys
0xe60ddb1894a0	\Windows\System32\drivers\hvsocket.sys
0xe60ddb189bd0	\$Extend\$Reparse:$R:$INDEX_ALLOCATION
0xe60ddb18a5e0	\$Directory
0xe60ddb18aba0	\$Directory
0xe60ddb1d8700	\Windows\System32\msvcrt.dll
0xe60ddb1d8890	\$Directory
0xe60ddb1d8a20	\Windows\System32\autochk.exe
0xe60ddb1d91f0	\Windows\System32\wow64con.dll
0xe60ddb1d9380	\Windows\System32\wow64base.dll
0xe60ddb1d96a0	\Windows\System32\wow64win.dll
0xe60ddb1d9830	\Windows\System32\Wldap32.dll
0xe60ddb1d9b50	\Windows\System32\psapi.dll
0xe60ddb1d9ce0	\Windows\System32\shlwapi.dll
0xe60ddb1d9e70	\Windows
0xe60ddb1df0b0	\Windows\System32\drivers\hdaudbus.sys
0xe60ddb1df220	\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_2e50c98177d80a40\CompositeBus.sys
0xe60ddb1df670	\$Extend\$RmMetadata\$Repair
0xe60ddb1df950	\Windows\System32\C_1252.NLS
0xe60ddb1dfc30	\$Directory
0xe60ddb1dfda0	\Windows\System32\C_850.NLS
0xe60ddb1e0080	\$Directory
0xe60ddb1e0920	\Windows\System32\drivers\vmbusr.sys
0xe60ddb1e0a90	\Windows\System32\l_intl.nls
0xe60ddb1e0c00	\Windows\bootstat.dat
0xe60ddb1e1330	\EFI\Microsoft\Boot\BCD
0xe60ddb1e1610	\Windows\System32\drivers\vmbkmclr.sys
0xe60ddb1e1780	\$Directory
0xe60ddb1e1eb0	\Windows\System32\smss.exe
0xe60ddb1e2470	\Windows\System32\DriverStore\FileRepository\umbus.inf_amd64_3702527f0d5a77cf\umbus.sys
0xe60ddb1e28c0	\Windows\System32\drivers\kdnic.sys
0xe60ddb1e2a30	\Windows\System32\drivers\i8042prt.sys
0xe60ddb22e950	\$Directory
0xe60ddb22ec30	\$Directory
0xe60ddb22eda0	\Windows\System32\drivers\E1G6032E.sys
0xe60ddb22f080	\Windows\System32\drivers\kbdclass.sys
0xe60ddb22f7b0	\$Directory
0xe60ddb22f920	\$Directory
0xe60ddb2304a0	\Windows\System32\drivers\mouclass.sys
0xe60ddb230780	\Windows\System32\drivers\VBoxWddm.sys
0xe60ddb2308f0	\$Directory
0xe60ddb231300	\Windows\System32\drivers\ks.sys
0xe60ddb231d10	\Windows\System32\drivers\drmk.sys
0xe60ddb231e80	\Windows\System32\drivers\portcls.sys
0xe60ddb3200c0	\Windows\System32\nsi.dll
0xe60ddb320700	\Windows\System32\ws2_32.dll
0xe60ddb320890	\Windows\System32\SHCore.dll
0xe60ddb320bb0	\Windows\System32\imm32.dll
0xe60ddb320d40	\Windows\System32\comdlg32.dll
0xe60ddb320ed0	\Windows\System32\shell32.dll
0xe60ddb321380	\Windows\System32\kernel32.dll
0xe60ddb321510	\Windows\System32\difxapi.dll
0xe60ddb3216a0	\Windows\System32\rpcrt4.dll
0xe60ddb321830	\Windows\System32\oleaut32.dll
0xe60ddb3219c0	\Windows\System32\sechost.dll
0xe60ddb321b50	\Windows\System32\advapi32.dll
0xe60ddb321e70	\Windows\System32\gdi32.dll
0xe60ddb3220c0	\Windows\System32\combase.dll
0xe60ddb322250	\Windows\System32\msctf.dll
0xe60ddb3223e0	\Windows\System32\setupapi.dll
0xe60ddb322700	\Windows\System32\imagehlp.dll
0xe60ddb322890	\Windows\System32\wow64cpu.dll
0xe60ddb322a20	\Windows\System32\GdiPlus.dll
0xe60ddb322bb0	\Windows\System32\ucrtbase.dll
0xe60ddb322ed0	\Windows\System32\ole32.dll
0xe60ddb323510	\Windows\System32\clbcatq.dll
0xe60ddb3236a0	\Windows\System32\user32.dll
0xe60ddb323830	\Windows\System32\normaliz.dll
0xe60ddb323b50	\Windows\System32\coml2.dll
0xe60ddb323ce0	\Windows\System32\wow64.dll
0xe60ddc714d20	\Windows\System32\drivers\ndiswan.sys
0xe60ddc7155c0	\Windows\System32\drivers\raspppoe.sys
0xe60ddc7158a0	\Windows\System32\drivers\ndistapi.sys
0xe60ddc717c90	\Users\NISE~1.JUU\AppData\Local\Temp\ad_driver.sysad_driver.10.sys
0xe60ddc718c60	\Users\NISE~1.JUU\AppData\Local\Temp\ad_driver.sys
