Volatility 3 Framework 2.11.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path
******* 7724	8156	msedgewebview2	0xe60de00a9080	19	-	1	False	2024-09-15 14:52:08.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe" --type=renderer --noerrdialogs --user-data-dir="C:\Users\Nis. E. Juul\AppData\Local\Packages\MicrosoftTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView" --webview-exe-name=msteams.exe --webview-exe-version=24215.1105.3082.1600 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --autoplay-policy=no-user-gesture-required --video-capture-use-gpu-memory-buffer --lang=en-GB --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=5 --js-flags="--harmony-weak-refs-with-cleanup-some --expose-gc --ms-user-locale=en_DK" --time-ticks-at-unix-epoch=-1726411895224930 --launch-time-ticks=33098681 --field-trial-handle=3584,i,13945888177040141814,6334991142268191370,262144 --enable-features=AutofillReplaceCachedWebElementsByRendererIds,MojoIpcz,msAbydos,msAbydosGestureSupport,msAbydosHandwritingAttr,msSingleSignOnOSForPrimaryAccountIsShared,msWebView2EnableDraggableRegions,msWebView2SetUserAgentOverrideOnIframes --disable-features=BreakoutBoxPreferCaptureTimestampInVideoFrames,V8Maglev,msFloatyShouldHonorIndiaHoldout,msWebOOUI --variations-seed-version --mojo-platform-channel-handle=3628 /pfhostedapp:3055b2e688835e0c313f4effb77fb3339c7707ba /prefetch:1	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe
******* 7224	8156	msedgewebview2	0xe60ddff7d180	8	-	1	False	2024-09-15 14:52:07.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe" --type=crashpad-handler "--user-data-dir=C:\Users\Nis. E. Juul\AppData\Local\Packages\MicrosoftTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView" /prefetch:4 /pfhostedapp:3055b2e688835e0c313f4effb77fb3339c7707ba --monitor-self-annotation=ptype=crashpad-handler "--database=C:\Users\Nis. E. Juul\AppData\Local\Packages\MicrosoftTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView\Crashpad" --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=128.0.6613.138 "--annotation=exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe" --annotation=plat=Win64 "--annotation=prod=Edge WebView2" --annotation=ver=128.0.2739.79 --initial-client-data=0x18c,0x190,0x194,0x168,0x19c,0x7ffb570c9fd8,0x7ffb570c9fe4,0x7ffb570c9ff0	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe
******* 7644	8156	msedgewebview2	0xe60de00aa080	16	-	1	False	2024-09-15 14:52:08.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=none --noerrdialogs --user-data-dir="C:\Users\Nis. E. Juul\AppData\Local\Packages\MicrosoftTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView" --webview-exe-name=msteams.exe --webview-exe-version=24215.1105.3082.1600 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --field-trial-handle=2072,i,13945888177040141814,6334991142268191370,262144 --enable-features=AutofillReplaceCachedWebElementsByRendererIds,MojoIpcz,msAbydos,msAbydosGestureSupport,msAbydosHandwritingAttr,msSingleSignOnOSForPrimaryAccountIsShared,msWebView2EnableDraggableRegions,msWebView2SetUserAgentOverrideOnIframes --disable-features=BreakoutBoxPreferCaptureTimestampInVideoFrames,V8Maglev,msFloatyShouldHonorIndiaHoldout,msWebOOUI --variations-seed-version --mojo-platform-channel-handle=2088 /prefetch:11 /pfhostedapp:3055b2e688835e0c313f4effb77fb3339c7707ba	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe
******* 8380	8156	msedgewebview2	0xe60de02480c0	19	-	1	False	2024-09-15 14:52:10.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe" --type=gpu-process --noerrdialogs --user-data-dir="C:\Users\Nis. E. Juul\AppData\Local\Packages\MicrosoftTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView" --webview-exe-name=msteams.exe --webview-exe-version=24215.1105.3082.1600 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --gpu-preferences=UAAAAAAAAADgAAAMAAAAAAAAAAAAAAAAAABgAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --use-gl=angle --use-angle=swiftshader-webgl --field-trial-handle=3284,i,13945888177040141814,6334991142268191370,262144 --enable-features=AutofillReplaceCachedWebElementsByRendererIds,MojoIpcz,msAbydos,msAbydosGestureSupport,msAbydosHandwritingAttr,msSingleSignOnOSForPrimaryAccountIsShared,msWebView2EnableDraggableRegions,msWebView2SetUserAgentOverrideOnIframes --disable-features=BreakoutBoxPreferCaptureTimestampInVideoFrames,V8Maglev,msFloatyShouldHonorIndiaHoldout,msWebOOUI --variations-seed-version --mojo-platform-channel-handle=1852 /prefetch:2 /pfhostedapp:3055b2e688835e0c313f4effb77fb3339c7707ba	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe
*** 3876	1156	MoUsoCoreWorke	0xe60ddfd240c0	5	-	0	False	2024-09-15 14:53:50.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\UUS\Packages\Preview\amd64\MoUsoCoreWorker.exe	"C:\Windows\uus\packages\preview\AMD64\MoUsoCoreWorker.exe" useprivatenamespaces	C:\Windows\uus\packages\preview\AMD64\MoUsoCoreWorker.exe
**** 8960	3876	MoNotification	0xe60ddf85b080	0	-	1	False	2024-09-15 14:53:50.000000 UTC	2024-09-15 14:53:50.000000 UTC	\Device\HarddiskVolume3\Windows\UUS\Packages\Preview\amd64\MoNotificationUx.exe	-	-
*** 204	1156	consent.exe	0xe60de08e70c0	0	-	1	False	2024-09-15 14:57:35.000000 UTC	2024-09-15 14:57:39.000000 UTC	\Device\HarddiskVolume3\Windows\System32\consent.exe	-	-
*** 6004	1156	consent.exe	0xe60dd8cbf0c0	0	-	1	False	2024-09-15 14:54:58.000000 UTC	2024-09-15 14:55:02.000000 UTC	\Device\HarddiskVolume3\Windows\System32\consent.exe	-	-
*** 2456	1156	taskhostw.exe	0xe60ddd727080	6	-	1	False	2024-09-15 14:51:49.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\taskhostw.exe	taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}	C:\Windows\system32\taskhostw.exe
*** 8924	1156	taskhostw.exe	0xe60dde0d40c0	3	-	1	False	2024-09-15 14:52:51.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\taskhostw.exe	taskhostw.exe $(Arg0)	C:\Windows\system32\taskhostw.exe
** 5508	808	svchost.exe	0xe60ddd723080	4	-	1	False	2024-09-15 14:51:51.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k UdkSvcGroup	C:\Windows\system32\svchost.exe
** 6532	808	svchost.exe	0xe60ddf82e080	5	-	0	False	2024-09-15 14:53:47.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService	C:\Windows\system32\svchost.exe
** 396	808	svchost.exe	0xe60ddd6a4080	16	-	0	False	2024-09-15 14:51:44.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p	C:\Windows\system32\svchost.exe
*** 4868	396	OpenWith.exe	0xe60ddf1630c0	0	-	1	False	2024-09-15 14:56:37.000000 UTC	2024-09-15 14:56:49.000000 UTC	\Device\HarddiskVolume3\Windows\System32\OpenWith.exe	-	-
*** 8196	396	SystemSettings	0xe60de0d020c0	31	-	1	False	2024-09-15 14:58:06.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\ImmersiveControlPanel\SystemSettings.exe	-	-
*** 6152	396	RuntimeBroker.	0xe60dde33d080	8	-	1	False	2024-09-15 14:51:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe -Embedding	C:\Windows\System32\RuntimeBroker.exe
*** 5772	396	ShellExperienc	0xe60ddc7880c0	15	-	1	False	2024-09-15 14:56:52.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe	-	-
*** 7828	396	WmiPrvSE.exe	0xe60dde34a0c0	4	-	0	False	2024-09-15 14:55:47.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\wbem\WmiPrvSE.exe	C:\Windows\system32\wbem\wmiprvse.exe	C:\Windows\system32\wbem\wmiprvse.exe
*** 6680	396	ApplicationFra	0xe60ddf1660c0	10	-	1	False	2024-09-15 14:58:06.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\ApplicationFrameHost.exe	C:\Windows\system32\ApplicationFrameHost.exe -Embedding	C:\Windows\system32\ApplicationFrameHost.exe
*** 6812	396	WmiPrvSE.exe	0xe60de08ce0c0	11	-	0	False	2024-09-15 14:59:36.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\wbem\WmiPrvSE.exe	C:\Windows\system32\wbem\wmiprvse.exe	C:\Windows\system32\wbem\wmiprvse.exe
*** 2336	396	SearchHost.exe	0xe60ddeaa3080	55	-	1	False	2024-09-15 14:51:51.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe	-	-
*** 6056	396	LockApp.exe	0xe60dde341080	11	-	1	False	2024-09-15 14:51:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe	-	-
*** 6704	396	dllhost.exe	0xe60ddf160180	4	-	1	False	2024-09-15 14:56:30.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\dllhost.exe	C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}	C:\Windows\system32\DllHost.exe
*** 6604	396	smartscreen.ex	0xe60ddf8a1080	3	-	1	False	2024-09-15 14:51:57.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\smartscreen.exe	C:\Windows\System32\smartscreen.exe -Embedding	C:\Windows\System32\smartscreen.exe
*** 1116	396	dllhost.exe	0xe60ddd724080	10	-	1	False	2024-09-15 14:51:52.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\dllhost.exe	C:\Windows\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}	C:\Windows\system32\DllHost.exe
*** 8032	396	RuntimeBroker.	0xe60ddfeec080	1	-	1	False	2024-09-15 14:52:07.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe -Embedding	C:\Windows\System32\RuntimeBroker.exe
*** 4336	396	StartMenuExper	0xe60ddeaa2080	12	-	1	False	2024-09-15 14:51:51.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe	"C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe" -ServerName:App.AppXywbrabmsek0gm3tkwpr5kwzbs55tkqay.mca	C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe
*** 5360	396	RuntimeBroker.	0xe60dde40d080	16	-	1	False	2024-09-15 14:51:51.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe -Embedding	C:\Windows\System32\RuntimeBroker.exe
*** 2416	396	FileCoAuth.exe	0xe60ddf8670c0	5	-	1	False	2024-09-15 14:54:07.000000 UTC	N/A	\Device\HarddiskVolume3\Users\Nis. E. Juul\AppData\Local\Microsoft\OneDrive\24.166.0818.0003\FileCoAuth.exe	"C:\Users\Nis. E. Juul\AppData\Local\Microsoft\OneDrive\24.166.0818.0003\FileCoAuth.exe" -Embedding	C:\Users\Nis. E. Juul\AppData\Local\Microsoft\OneDrive\24.166.0818.0003\FileCoAuth.exe
*** 5236	396	RuntimeBroker.	0xe60ddea9f080	4	-	1	False	2024-09-15 14:51:51.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe -Embedding	C:\Windows\System32\RuntimeBroker.exe
*** 4984	396	Widgets.exe	0xe60ddeaa0080	14	-	1	False	2024-09-15 14:51:51.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_524.23700.10.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe	"C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_524.23700.10.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe" -ServerName:Microsoft.Windows.DashboardServer	C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_524.23700.10.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe
**** 5760	4984	msedgewebview2	0xe60ddf96e080	43	-	1	False	2024-09-15 14:56:51.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe" --embedded-browser-webview=1 --webview-exe-name=Widgets.exe --webview-exe-version=524.23700.10.0 --user-data-dir="C:\Users\Nis. E. Juul\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView" --noerrdialogs --disk-cache-size=52428800 --edge-webview-is-background --enable-features=MojoIpcz --lang=en-GB --mojo-named-platform-channel-pipe=4984.5832.770314294031323799 /pfhostedapp:8fd5796ee6d52a9b05b31f5f1bafd019f381b85c	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe
***** 2520	5760	msedgewebview2	0xe60ddf39c080	8	-	1	False	2024-09-15 14:56:52.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-GB --service-sandbox-type=service --noerrdialogs --user-data-dir="C:\Users\Nis. E. Juul\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView" --webview-exe-name=Widgets.exe --webview-exe-version=524.23700.10.0 --embedded-browser-webview=1 --field-trial-handle=2368,i,4199710819084454843,16613874445130643966,262144 --enable-features=MojoIpcz --variations-seed-version --mojo-platform-channel-handle=2152 /prefetch:13 /pfhostedapp:8fd5796ee6d52a9b05b31f5f1bafd019f381b85c	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe
***** 5936	5760	msedgewebview2	0xe60dd8cbc140	10	-	1	False	2024-09-15 14:56:52.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe" --type=crashpad-handler "--user-data-dir=C:\Users\Nis. E. Juul\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView" /prefetch:4 /pfhostedapp:8fd5796ee6d52a9b05b31f5f1bafd019f381b85c --monitor-self-annotation=ptype=crashpad-handler "--database=C:\Users\Nis. E. Juul\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView\Crashpad" --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=128.0.6613.138 "--annotation=exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe" --annotation=plat=Win64 "--annotation=prod=Edge WebView2" --annotation=ver=128.0.2739.79 --initial-client-data=0x18c,0x190,0x194,0x168,0x19c,0x7ffb570c9fd8,0x7ffb570c9fe4,0x7ffb570c9ff0	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe
***** 1716	5760	msedgewebview2	0xe60de04c50c0	19	-	1	False	2024-09-15 14:56:54.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe" --type=gpu-process --noerrdialogs --user-data-dir="C:\Users\Nis. E. Juul\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView" --webview-exe-name=Widgets.exe --webview-exe-version=524.23700.10.0 --embedded-browser-webview=1 --gpu-preferences=UAAAAAAAAADgAAAMAAAAAAAAAAAAAAAAAABgAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --use-gl=angle --use-angle=swiftshader-webgl --field-trial-handle=1916,i,4199710819084454843,16613874445130643966,262144 --enable-features=MojoIpcz --variations-seed-version --mojo-platform-channel-handle=3572 /prefetch:2 /pfhostedapp:8fd5796ee6d52a9b05b31f5f1bafd019f381b85c	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe
***** 4728	5760	msedgewebview2	0xe60dde9ab140	15	-	1	False	2024-09-15 14:56:52.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=none --noerrdialogs --user-data-dir="C:\Users\Nis. E. Juul\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView" --webview-exe-name=Widgets.exe --webview-exe-version=524.23700.10.0 --embedded-browser-webview=1 --field-trial-handle=1984,i,4199710819084454843,16613874445130643966,262144 --enable-features=MojoIpcz --variations-seed-version --mojo-platform-channel-handle=2096 /prefetch:11 /pfhostedapp:8fd5796ee6d52a9b05b31f5f1bafd019f381b85c	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe
***** 4476	5760	msedgewebview2	0xe60ddf294080	14	-	1	False	2024-09-15 14:56:52.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe" --type=renderer --noerrdialogs --user-data-dir="C:\Users\Nis. E. Juul\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView" --webview-exe-name=Widgets.exe --webview-exe-version=524.23700.10.0 --embedded-browser-webview=1 --video-capture-use-gpu-memory-buffer --lang=en-GB --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=5 --js-flags="--harmony-weak-refs-with-cleanup-some --expose-gc --ms-user-locale=en_DK" --time-ticks-at-unix-epoch=-1726411895232416 --launch-time-ticks=317109284 --field-trial-handle=3532,i,4199710819084454843,16613874445130643966,262144 --enable-features=MojoIpcz --variations-seed-version --mojo-platform-channel-handle=3516 /pfhostedapp:8fd5796ee6d52a9b05b31f5f1bafd019f381b85c /prefetch:1	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe
